Name,Link
Ethan Nwaneri,/en/players/7f94982c/Ethan-Nwaneri
Christian Norgaard,/en/players/df0a4c90/Christian-Norgaard
Lewis OBrien,/en/players/089667a5/Lewis-OBrien
Odeluga Offiah,/en/players/65c3efa2/Odeluga-Offiah
Angelo Ogbonna,/en/players/74b2cd7e/Angelo-Ogbonna
Michael Olise,/en/players/c4486bac/Michael-Olise
Robin Olsen,/en/players/e7ee38c3/Robin-Olsen
Amadou Onana,/en/players/828657ff/Amadou-Onana
Josh Onomah,/en/players/6612cd8c/Josh-Onomah
Paul Onuachu,/en/players/c06d1086/Paul-Onuachu
Frank Onyeka,/en/players/2944f86f/Frank-Onyeka
Mislav Orsic,/en/players/ee950928/Mislav-Orsic
Stefan Ortega,/en/players/c1242d4e/Stefan-Ortega
Dango Ouattara,/en/players/2f9e4435/Dango-Ouattara
Alex Oxlade Chamberlain,/en/players/38c7feef/Alex-Oxlade-Chamberlain
David Ozoh,/en/players/d00d45ab/David-Ozoh
Joao Palhinha,/en/players/a78ff07f/Joao-Palhinha
Cole Palmer,/en/players/dc7f8a28/Cole-Palmer
Emerson Palmieri,/en/players/e0bc6fdc/Emerson-Palmieri
Lucas Paqueta,/en/players/9b6f7fd5/Lucas-Paqueta
Thomas Partey,/en/players/529f49ab/Thomas-Partey
Nathan Patterson,/en/players/230f0471/Nathan-Patterson
Ben Pearson,/en/players/a6b461e7/Ben-Pearson
Facundo Pellistri,/en/players/ac7e7b1c/Facundo-Pellistri
Andreas Pereira,/en/players/6639e500/Andreas-Pereira
Ricardo Pereira,/en/players/75a72a99/Ricardo-Pereira
Ayoze Perez,/en/players/819aa8e7/Ayoze-Perez
Ivan Perisic,/en/players/6fe90922/Ivan-Perisic
Romain Perraud,/en/players/6dfd8f05/Romain-Perraud
Maximo Perrone,/en/players/53552942/Maximo-Perrone
Cameron Peupion,/en/players/0bdeb013/Cameron-Peupion
Kalvin Phillips,/en/players/4f565d77/Kalvin-Phillips
Nathaniel Phillips,/en/players/515ebe8d/Nathaniel-Phillips
Jordan Pickford,/en/players/4806ec67/Jordan-Pickford
Ethan Pinnock,/en/players/e541326e/Ethan-Pinnock
Daniel Podence,/en/players/7fcc71d8/Daniel-Podence
Nick Pope,/en/players/4b40d9ca/Nick-Pope
Pedro Porro,/en/players/27d0a506/Pedro-Porro
Dennis Praet,/en/players/86695068/Dennis-Praet
Isaac Price,/en/players/b9403c99/Isaac-Price
Christian Pulisic,/en/players/1bf33a9a/Christian-Pulisic
Aaron Ramsdale,/en/players/466fb2c5/Aaron-Ramsdale
Jacob Ramsey,/en/players/1544f145/Jacob-Ramsey
Marcus Rashford,/en/players/a1d5bd30/Marcus-Rashford
David Raya,/en/players/98ea5115/David-Raya
Tim Ream,/en/players/28b40c9c/Tim-Ream
Nathan Redmond,/en/players/ab651565/Nathan-Redmond
Harrison Reed,/en/players/803ae100/Harrison-Reed
Bobby Reid,/en/players/0f7533cd/Bobby-Reid
Declan Rice,/en/players/1c7012b8/Declan-Rice
Chris Richards,/en/players/0a3d6d2b/Chris-Richards
Richarlison,/en/players/fa031b34/Richarlison
Jairo Riedewald,/en/players/7a1f2c08/Jairo-Riedewald
Matt Ritchie,/en/players/71ef519e/Matt-Ritchie
Andrew Robertson,/en/players/2e4f5f03/Andrew-Robertson
Antonee Robinson,/en/players/289601e6/Antonee-Robinson
Joel Robles,/en/players/cda0b317/Joel-Robles
Marc Roca,/en/players/da27e268/Marc-Roca
Marek Rodak,/en/players/17acc2ed/Marek-Rodak
Rodri,/en/players/6434f10d/Rodri
Rodrigo,/en/players/1fb1c435/Rodrigo
Mads Roerslev,/en/players/57c94db2/Mads-Roerslev
Cristian Romero,/en/players/a3d94a58/Cristian-Romero
Oriol Romeu,/en/players/4b511457/Oriol-Romeu
Cristiano Ronaldo,/en/players/dea698d9/Cristiano-Ronaldo
Connor Ronan,/en/players/1b804500/Connor-Ronan
Salomon Rondon,/en/players/b318a643/Salomon-Rondon
Joe Rothwell,/en/players/10a10454/Joe-Rothwell
Georginio Rutter,/en/players/c64c01fc/Georginio-Rutter
Jose Sa,/en/players/903b6e8b/Jose-Sa
Marcel Sabitzer,/en/players/e280527c/Marcel-Sabitzer
Allan Saint Maximin,/en/players/2b16cb1a/Allan-Saint-Maximin
Bukayo Saka,/en/players/bc7dc64d/Bukayo-Saka
Mohamed Salah,/en/players/e342ad68/Mohamed-Salah
William Saliba,/en/players/972aeb2a/William-Saliba
Mohammed Salisu,/en/players/0b33f6ad/Mohammed-Salisu
Albert Sambi Lokonga,/en/players/1b4f1169/Albert-Sambi-Lokonga
